GCA_000010565.1	0
GCA_000018565.1	1
GCA_000024525.1	2
GCA_000166295.1	3
GCA_000186885.1	4
GCA_000214705.1	5
GCA_000218875.1	6
GCA_000218895.1	7
GCA_000237975.1	8
GCA_000238975.1	9
GCA_000263195.1	10
GCA_000281235.1	11
GCA_000307585.2	12
GCA_000317655.1	13
GCA_000348785.1	14
GCA_000471925.1	15
GCA_000495505.1	16
GCF_000814265.1	16
GCA_000503835.1	17
GCA_000503875.1	18
GCA_000503915.1	19
GCA_000632805.1	20
GCA_000723365.1	21
GCA_000738435.1	22
GCA_000743035.1	23
GCA_000808095.1	24
GCA_000832905.1	25
GCA_000934545.1	26
GCA_000935025.1	27
GCA_000987835.1	28
GCA_001263205.1	29
GCA_001465115.1	30
GCA_001549895.1	31
GCA_001610875.1	32
GCA_001697145.1	33
GCF_900636525.1	33
GCA_001708385.1	34
GCA_001765415.1	35
GCA_001931535.1	36
GCA_001999965.1	37
GCA_002007645.1	38
GCA_002007745.1	39
GCA_002074035.1	40
GCA_002211745.1	41
GCA_002240395.1	42
GCA_002243685.1	43
GCF_000193355.1	43
GCF_000306745.1	43
GCF_000341665.1	43
GCF_000497525.1	43
GCF_001182785.1	43
GCF_001635915.1	43
GCF_001635955.1	43
GCF_002220285.1	43
GCF_003013315.1	43
GCA_002243705.1	44
GCA_002310375.2	45
GCA_002355495.1	46
GCA_002370555.1	47
GCA_002886105.1	48
GCA_002973635.1	49
GCA_003096055.1	50
GCA_003129525.1	51
GCA_003293635.1	52
GCA_003325215.1	53
GCF_001629755.1	53
GCF_001629775.1	53
GCF_002211865.1	53
GCF_002211965.1	53
GCF_002794415.1	53
GCF_003994555.1	53
GCF_003994635.1	53
GCF_004126495.1	53
GCF_900475895.1	53
GCA_003428805.1	54
GCA_003431975.1	55
GCA_003534205.1	56
GCA_003555505.1	57
GCA_003609755.1	58
GCA_003610995.1	59
GCA_003671935.1	60
GCA_003990705.1	61
GCA_004000515.1	62
GCA_004001285.1	63
GCA_004295565.1	64
GCA_004296455.1	65
GCA_004519515.1	66
GCA_005080865.1	67
GCA_005080965.1	68
GCA_005081445.1	69
